"filename", "language", "JSON", "HTML", "JavaScript", "CSS", "XML", "JavaScript JSX", "Markdown", "comment", "blank", "total"
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\checkIn\ClientInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 75, 0, 20, 12, 107
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\checkIn\MakeDeposit.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\checkIn\RentalAgreement.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 179, 0, 20, 31, 230
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\checkIn\sigCanvas.css", "CSS", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\csr\RefundForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\dashboard\ViewBranches.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 1, 19
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\dashboard\ViewReservations.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 2, 53
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\dashboard\ViewVehicles.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 25
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\generalPurpose\Button.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\generalPurpose\PaymentForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 232, 0, 12, 23, 267
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\header\AccountDropdown.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 50, 0, 2, 8, 60
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\header\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 2, 17
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\header\LoginButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\location\Map.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 109, 0, 1, 7, 117
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\reservation\Addon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 50, 0, 5, 4, 59
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\reservation\AddonSelector.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 48, 0, 1, 6, 55
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\reservation\BookingPayment.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\reservation\Confirmation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 21, 0, 2, 4, 27
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\reservation\MakeReservation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 50, 0, 1, 14, 65
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\reservation\ModifyReservation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 76, 0, 0, 6, 82
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\reservation\ReservationDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 82, 0, 3, 8, 93
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\reservation\ReservationForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 94, 0, 0, 10, 104
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\reservation\VehicleDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 1, 1, 19
"c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src\frontend\src\components\reservation\VehicleViewer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 39, 0, 1, 1, 41
